temperature,label
89.44,hot
90.68,hot
91.8,hot
93.96,hot
94.82,hot
95.24,hot
93.08,hot
95.19,hot
95.25,hot
99.16,hot
98.29,hot
97.67,hot
97.3,hot
96.42,hot
96.95,hot
98.73,hot
98.89,hot
101.02,hot
99.99,hot
102.81,hot
101.92,hot
104.83,hot
102.14,hot
81.02,hot
80.95,hot
81.42,hot
83.39,hot
82.96,hot
83.29,hot
84.27,hot
83.02,hot
81.91,hot
84.75,hot
83.61,hot
84.02,hot
80.99,hot
79.76,hot
78.98,hot
80.3,hot
84.32,hot
84.25,hot
87.84,hot
87.81,hot
90.19,hot
91.55,hot
95.24,hot
96.88,hot
97.89,hot
97.56,hot
97.85,hot
89.39,hot
91.95,hot
89.23,hot
90.72,hot
91.22,hot
94.37,hot
93.48,hot
93.87,hot
111.12,hot
108.07,hot
106.95,hot
100.65,hot
103.78,hot
103.65,hot
100.75,hot
96.35,hot
96.84,hot
95.71,hot
97.01,hot
96.81,hot
96.72,hot
97.21,hot
94.71,hot
97.6,hot
98.29,hot
99.2,hot
99.59,hot
101.01,hot
99.66,hot
103.26,hot
104.94,hot
86.53,hot
85.63,hot
80.78,hot
78.85,hot
78.75,hot
28.76,normal
30.51,hot
29.97,normal
29.8,normal
31.78,hot
33.03,hot
36.65,hot
37.37,hot
37.6,hot
39.5,hot
38.76,hot
39.17,hot
37.11,hot
36.05,hot
34.18,hot
35.69,hot
24.99,normal
25.41,normal
27.28,normal
29.03,normal
25.91,normal
29.91,normal
26.64,normal
25.49,normal
28.24,normal
29.79,normal
30.44,hot
29.86,normal
25.39,normal
25.86,normal
27.47,normal
24.98,normal
21.87,normal
21.33,normal
20.81,normal
23.28,normal
24.97,normal
27.42,normal
26.81,normal
27.57,normal
27.31,normal
25.24,normal
25.52,normal
26.43,normal
17.0,normal
17.81,normal
18.36,normal
17.06,normal
17.0,normal
21.01,normal
21.41,normal
22.31,normal
20.77,normal
40.45,hot
42.46,hot
41.96,hot
38.59,hot
36.72,hot
39.3,hot
31.76,hot
29.2,normal
25.91,normal
23.32,normal
22.12,normal
17.62,normal
16.25,normal
13.94,normal
10.87,normal
12.23,normal
1.21,cold
0.7,cold
1.48,cold
1.41,cold
-0.49,cold
-4.31,cold
-3.52,cold
-3.79,cold
-4.11,cold
-3.79,cold
-5.66,cold
-6.82,cold
-6.69,cold
-7.26,cold
-6.46,cold
-7.01,cold
-5.51,cold
-1.87,cold
-3.53,cold
-2.48,cold
-3.95,cold
-1.5,cold
1.75,cold
2.38,cold
2.38,cold
4.33,cold
6.54,cold
3.29,cold
4.42,cold
2.22,cold
0.8,cold
-0.44,cold
0.96,cold
-1.39,cold
-3.86,cold
-4.38,cold
-0.93,cold
-2.91,cold
-1.65,cold
0.98,cold
-1.45,cold
-1.3,cold
0.26,cold
-0.79,cold
-0.07,cold
-2.21,cold
-3.99,cold
-5.69,cold
-8.89,cold
-8.39,cold
-8.39,cold
-9.27,cold
-6.94,cold
-7.95,cold
-8.42,cold
-8.32,cold
-7.98,cold
-3.05,cold
-3.65,cold
-4.39,cold
-6.37,cold
-5.35,cold
-5.24,cold
-4.67,cold
-6.26,cold
-7.64,cold
-7.77,cold
-8.9,cold
-9.72,cold
-9.69,cold
-11.15,cold
-10.15,cold
-5.57,cold
-6.58,cold
-8.92,cold
16.77,normal
16.42,normal
3.11,cold
3.48,cold
3.45,cold
4.61,cold
4.56,cold
2.69,cold
-0.05,cold
-3.28,cold
-4.62,cold
-2.54,cold
1.77,cold
0.56,cold
0.62,cold
-0.89,cold
142.17,hot
142.54,hot
140.58,hot
137.92,hot
138.49,hot
120.36,hot
121.57,hot
124.19,hot
125.47,hot
127.92,hot
130.83,hot
134.43,hot
135.54,hot
135.12,hot
136.28,hot
136.58,hot
133.9,hot
135.73,hot
137.41,hot
135.78,hot
133.7,hot
134.71,hot
134.52,hot
134.35,hot
135.34,hot
136.79,hot
140.41,hot
141.66,hot
141.16,hot
141.12,hot
143.7,hot
142.85,hot
141.82,hot
150.04,hot
147.14,hot
144.93,hot
143.3,hot
139.11,hot
147.26,hot
145.76,hot
146.12,hot
144.45,hot
148.17,hot
150.0,hot
149.99,hot
150.0,hot
150.0,hot
150.0,hot
148.31,hot
148.04,hot
148.42,hot
149.57,hot
150.0,hot
149.39,hot
127.54,hot
125.19,hot
121.4,hot
121.74,hot
121.0,hot
121.8,hot
122.21,hot
121.45,hot
122.16,hot
119.96,hot
118.01,hot
116.23,hot
115.62,hot
118.76,hot
118.96,hot
116.7,hot
117.19,hot
117.36,hot
119.13,hot
117.29,hot
114.62,hot
119.45,hot
118.6,hot
117.52,hot
116.93,hot
117.23,hot
114.7,hot
114.58,hot
118.12,hot
116.05,hot
114.76,hot
114.64,hot
116.96,hot
115.42,hot
114.7,hot
115.72,hot
115.6,hot
114.13,hot
116.21,hot
117.22,hot
113.56,hot
113.96,hot
115.49,hot
115.11,hot
116.78,hot
115.92,hot
114.83,hot
113.8,hot
112.33,hot
112.74,hot
113.27,hot
113.18,hot
113.19,hot
112.68,hot
111.07,hot
112.26,hot
111.65,hot
107.74,hot
106.74,hot
108.73,hot
107.6,hot
106.78,hot
103.74,hot
106.23,hot
106.97,hot
105.39,hot
104.59,hot
105.64,hot
101.77,hot
102.02,hot
103.47,hot
104.8,hot
102.87,hot
103.17,hot
103.68,hot
113.15,hot
112.71,hot
113.55,hot
115.33,hot
114.28,hot
54.38,hot
54.56,hot
52.45,hot
50.31,hot
52.21,hot
55.63,hot
55.77,hot
58.09,hot
60.04,hot
61.04,hot
59.73,hot
56.07,hot
59.29,hot
61.92,hot
61.43,hot
59.74,hot
59.83,hot
63.22,hot
62.0,hot
61.93,hot
59.12,hot
58.95,hot
58.33,hot
56.83,hot
56.51,hot
57.85,hot
60.0,hot
60.04,hot
58.62,hot
55.59,hot
52.43,hot
84.55,hot
84.84,hot
83.61,hot
81.83,hot
81.22,hot
82.24,hot
81.9,hot
82.31,hot
83.83,hot
45.97,hot
44.48,hot
43.38,hot
43.57,hot
45.51,hot
46.36,hot
48.36,hot
47.02,hot
46.75,hot
48.37,hot
50.44,hot
52.69,hot
52.07,hot
53.63,hot
52.51,hot
52.09,hot
49.62,hot
48.44,hot
47.49,hot
47.46,hot
47.28,hot
46.54,hot
47.66,hot
47.07,hot
49.42,hot
50.16,hot
47.02,hot
44.77,hot
46.05,hot
47.05,hot
46.71,hot
45.77,hot
43.62,hot
44.1,hot
46.3,hot
50.22,hot
55.51,hot
52.5,hot
54.67,hot
54.87,hot
56.11,hot
55.37,hot
57.62,hot
57.52,hot
56.33,hot
59.08,hot
58.97,hot
59.54,hot
59.15,hot
58.85,hot
60.04,hot
53.23,hot
55.48,hot
57.38,hot
56.13,hot
77.77,hot
102.82,hot
103.85,hot
104.69,hot
103.5,hot
101.97,hot
102.39,hot
102.01,hot
100.91,hot
100.97,hot
102.19,hot
101.83,hot
102.0,hot
103.75,hot
102.49,hot
99.41,hot
99.14,hot
97.43,hot
98.1,hot
96.8,hot
97.18,hot
97.65,hot
100.39,hot
96.72,hot
96.66,hot
95.41,hot
95.44,hot
93.72,hot
95.97,hot
98.02,hot
96.69,hot
96.56,hot
0.05,cold
1.98,cold
4.45,cold
3.21,cold
-3.02,cold
-3.02,cold
-1.82,cold
-2.84,cold
-3.14,cold
-1.9,cold
-4.18,cold
-7.29,cold
-5.65,cold
-8.03,cold
-4.74,cold
-5.83,cold
-6.16,cold
-6.62,cold
-8.61,cold
-8.65,cold
-9.18,cold
-7.75,cold
108.63,hot
22.8,normal
23.18,normal
12.69,normal
9.75,cold
10.1,normal
10.59,normal
10.38,normal
7.09,cold
7.13,cold
7.59,cold
6.84,cold
6.2,cold
7.2,cold
9.48,cold
9.01,cold
9.94,cold
8.27,cold
12.45,normal
16.5,normal
16.51,normal
-1.28,cold
1.79,cold
0.93,cold
2.11,cold
-1.09,cold
-0.17,cold
0.68,cold
0.72,cold
2.16,cold
-0.43,cold
-6.77,cold
-6.77,cold
-9.27,cold
-8.06,cold
-8.93,cold
-9.06,cold
-7.57,cold
-7.93,cold
-5.09,cold
-6.29,cold
-7.66,cold
-6.08,cold
-6.05,cold
-20.95,cold
-21.76,cold
-20.39,cold
-17.16,cold
-16.95,cold
-17.33,cold
-15.49,cold
-17.99,cold
-17.26,cold
-22.47,cold
-22.07,cold
-20.71,cold
-18.32,cold
-19.33,cold
-22.83,cold
-24.18,cold
-24.11,cold
-22.75,cold
-25.05,cold
-22.66,cold
-24.62,cold
-25.82,cold
-22.98,cold
-24.64,cold
-23.59,cold
-22.29,cold
-25.3,cold
-21.31,cold
-15.09,cold
-15.73,cold
-12.14,cold
-10.46,cold
-11.69,cold
-10.81,cold
-9.25,cold
-11.43,cold
-12.2,cold
-15.24,cold
-15.95,cold
-15.94,cold
-17.26,cold
-21.57,cold
-19.38,cold
-17.99,cold
-18.77,cold
91.32,hot
91.84,hot
89.84,hot
87.64,hot
86.27,hot
85.97,hot
85.11,hot
84.78,hot
82.41,hot
83.45,hot
82.44,hot
79.1,hot
82.13,hot
80.9,hot
79.24,hot
77.91,hot
78.09,hot
78.88,hot
79.27,hot
143.7,hot
145.32,hot
143.02,hot
145.06,hot
145.6,hot
146.7,hot
147.38,hot
146.92,hot
146.83,hot
149.08,hot
148.41,hot
148.36,hot
148.01,hot
76.1,hot
72.89,hot
74.51,hot
72.56,hot
71.16,hot
69.42,hot
72.65,hot
74.64,hot
71.84,hot
72.25,hot
71.88,hot
70.64,hot
72.26,hot
71.72,hot
73.38,hot
71.35,hot
62.43,hot
58.88,hot
60.47,hot
60.44,hot
59.04,hot
58.06,hot
58.33,hot
58.66,hot
58.86,hot
55.54,hot
54.2,hot
56.21,hot
57.63,hot
57.65,hot
54.85,hot
54.88,hot
54.1,hot
57.28,hot
55.21,hot
65.45,hot
65.67,hot
55.79,hot
55.23,hot
56.08,hot
53.24,hot
54.44,hot
54.67,hot
55.56,hot
57.73,hot
59.84,hot
60.94,hot
65.38,hot
66.25,hot
64.64,hot
70.98,hot
71.5,hot
75.56,hot
86.41,hot
88.9,hot
89.16,hot
88.68,hot
91.54,hot
91.17,hot
89.77,hot
89.22,hot
91.1,hot
90.71,hot
89.38,hot
87.22,hot
85.84,hot
89.36,hot
77.5,hot
89.26,hot
93.48,hot
96.27,hot
97.1,hot
99.25,hot
102.3,hot
103.01,hot
103.45,hot
107.18,hot
109.4,hot
108.14,hot
106.12,hot
103.38,hot
103.44,hot
105.66,hot
106.85,hot
104.01,hot
106.22,hot
103.17,hot
104.41,hot
102.51,hot
105.38,hot
104.71,hot
105.69,hot
107.03,hot
106.45,hot
105.04,hot
105.29,hot
106.03,hot
103.11,hot
105.54,hot
104.34,hot
120.49,hot
121.75,hot
123.68,hot
124.34,hot
127.88,hot
126.9,hot
126.49,hot
127.61,hot
129.85,hot
130.95,hot
133.33,hot
135.67,hot
137.9,hot
140.06,hot
137.65,hot
138.4,hot
139.45,hot
142.11,hot
140.15,hot
146.27,hot
146.57,hot
148.1,hot
146.49,hot
146.19,hot
147.05,hot
146.37,hot
146.95,hot
147.1,hot
147.79,hot
148.41,hot
147.09,hot
145.68,hot
142.28,hot
141.35,hot
140.59,hot
139.43,hot
138.67,hot
139.33,hot
135.49,hot
135.19,hot
132.86,hot
132.9,hot
129.13,hot
128.34,hot
129.42,hot
132.7,hot
135.15,hot
135.42,hot
138.83,hot
138.68,hot
138.13,hot
140.24,hot
140.76,hot
138.25,hot
134.06,hot
135.79,hot
133.97,hot
132.54,hot
132.67,hot
133.56,hot
133.79,hot
132.1,hot
130.74,hot
126.72,hot
127.79,hot
130.25,hot
130.19,hot
128.37,hot
128.95,hot
128.58,hot
123.08,hot
122.08,hot
109.49,hot
110.26,hot
111.8,hot
112.23,hot
108.06,hot
109.47,hot
108.33,hot
108.99,hot
108.09,hot
110.6,hot
111.97,hot
118.83,hot
121.9,hot
140.64,hot
141.65,hot
142.04,hot
142.7,hot
98.89,hot
100.64,hot
103.59,hot
100.31,hot
99.53,hot
100.81,hot
100.43,hot
100.6,hot
94.62,hot
95.55,hot
98.59,hot
96.69,hot
100.18,hot
102.45,hot
100.24,hot
102.69,hot
102.17,hot
98.35,hot
98.21,hot
100.03,hot
100.24,hot
100.77,hot
103.31,hot
103.06,hot
103.25,hot
112.63,hot
113.83,hot
114.35,hot
111.87,hot
108.05,hot
106.33,hot
107.44,hot
104.77,hot
104.58,hot
107.23,hot
104.19,hot
98.53,hot
97.71,hot
100.02,hot
100.4,hot
101.3,hot
102.21,hot
100.25,hot
98.32,hot
97.91,hot
99.34,hot
95.24,hot
92.5,hot
91.08,hot
89.97,hot
90.38,hot
90.19,hot
89.13,hot
92.64,hot
92.68,hot
93.13,hot
94.52,hot
93.05,hot
96.69,hot
99.09,hot
99.37,hot
99.26,hot
101.7,hot
101.51,hot
102.35,hot
102.09,hot
103.25,hot
106.55,hot
108.69,hot
106.1,hot
107.24,hot
106.64,hot
104.22,hot
106.32,hot
123.03,hot
124.01,hot
123.29,hot
122.8,hot
136.93,hot
136.75,hot
136.67,hot
138.57,hot
136.53,hot
136.33,hot
135.12,hot
134.9,hot
133.11,hot
127.3,hot
126.55,hot
129.21,hot
129.84,hot
127.53,hot
119.7,hot
117.81,hot
119.03,hot
117.03,hot
115.53,hot
117.49,hot
118.53,hot
116.14,hot
117.93,hot
119.72,hot
123.38,hot
120.31,hot
116.55,hot
116.92,hot
117.31,hot
118.64,hot
117.19,hot
116.28,hot
118.07,hot
114.63,hot
118.29,hot
119.53,hot
116.9,hot
128.41,hot
129.06,hot
-15.31,cold
-14.24,cold
-16.38,cold
-12.56,cold
-12.19,cold
-10.31,cold
-13.65,cold
-11.53,cold
-11.07,cold
-14.79,cold
18.95,normal
19.25,normal
30.83,hot
34.3,hot
30.36,hot
31.78,hot
30.26,hot
30.83,hot
29.85,normal
28.33,normal
29.55,normal
35.08,hot
32.3,hot
31.11,hot
31.05,hot
31.6,hot
30.48,hot
32.51,hot
30.93,hot
30.13,hot
32.2,hot
33.84,hot
32.92,hot
29.44,normal
34.55,hot
33.27,hot
35.63,hot
40.19,hot
44.13,hot
44.09,hot
44.78,hot
47.35,hot
48.55,hot
46.71,hot
45.96,hot
45.65,hot
48.5,hot
47.34,hot
47.78,hot
45.82,hot
43.32,hot
43.36,hot
41.5,hot
41.02,hot
45.01,hot
43.45,hot
48.34,hot
47.26,hot
45.02,hot
44.3,hot
46.29,hot
46.8,hot
47.05,hot
45.47,hot
45.03,hot
42.73,hot
45.13,hot
45.76,hot
44.35,hot
46.15,hot
43.49,hot
41.86,hot
42.23,hot
43.18,hot
42.0,hot
43.69,hot
43.95,hot
42.77,hot
43.42,hot
45.84,hot
48.32,hot
49.47,hot
46.78,hot
47.79,hot
50.59,hot
51.7,hot
49.27,hot
48.85,hot
49.42,hot
44.42,hot
42.96,hot
42.98,hot
27.99,normal
15.54,normal
37.59,hot
38.78,hot
35.5,hot
35.74,hot
35.07,hot
39.86,hot
37.63,hot
34.59,hot
34.81,hot
35.82,hot
37.06,hot
39.14,hot
37.35,hot
34.73,hot
33.74,hot
34.93,hot
33.74,hot
35.9,hot
36.58,hot
37.14,hot
32.72,hot
34.93,hot
32.93,hot
32.36,hot
35.1,hot
32.76,hot
30.4,hot
30.93,hot
33.34,hot
32.09,hot
33.4,hot
35.06,hot
38.68,hot
35.58,hot
40.96,hot
39.14,hot
37.36,hot
37.24,hot
51.63,hot
51.73,hot
54.24,hot
55.02,hot
53.88,hot
52.3,hot
49.19,hot
52.92,hot
49.94,hot
86.89,hot
89.03,hot
90.24,hot
94.85,hot
91.89,hot
89.94,hot
91.95,hot
90.3,hot
88.86,hot
90.42,hot
88.84,hot
88.91,hot
89.13,hot
87.16,hot
86.59,hot
82.63,hot
82.72,hot
79.63,hot
78.36,hot
79.2,hot
79.73,hot
78.74,hot
78.37,hot
78.89,hot
79.32,hot
80.21,hot
78.56,hot
78.88,hot
83.31,hot
85.7,hot
83.18,hot
85.24,hot
86.98,hot
87.13,hot
86.83,hot
87.19,hot
89.65,hot
92.2,hot
91.9,hot
94.34,hot
96.45,hot
116.77,hot
116.32,hot
114.49,hot
112.82,hot
113.67,hot
113.75,hot
115.78,hot
115.46,hot
115.1,hot
114.89,hot
113.65,hot
114.82,hot
116.54,hot
114.88,hot
116.47,hot
116.23,hot
114.8,hot
115.84,hot
113.85,hot
113.49,hot
132.09,hot
132.75,hot
135.26,hot
134.36,hot
134.91,hot
134.87,hot
135.32,hot
135.36,hot
136.69,hot
127.9,hot
126.34,hot
124.82,hot
121.16,hot
118.7,hot
118.4,hot
117.75,hot
118.38,hot
116.61,hot
116.97,hot
119.58,hot
120.57,hot
120.09,hot
119.76,hot
120.18,hot
117.75,hot
118.07,hot
119.38,hot
121.0,hot
109.43,hot
105.84,hot
105.07,hot
104.82,hot
104.02,hot
104.56,hot
102.21,hot
103.19,hot
105.55,hot
106.51,hot
104.57,hot
103.77,hot
102.54,hot
101.12,hot
103.3,hot
102.37,hot
112.56,hot
110.35,hot
107.56,hot
108.74,hot
108.73,hot
108.3,hot
108.94,hot
112.25,hot
110.06,hot
107.11,hot
99.29,hot
99.78,hot
100.38,hot
100.73,hot
96.34,hot
96.02,hot
94.42,hot
90.6,hot
93.39,hot
94.81,hot
98.15,hot
96.26,hot
97.43,hot
95.96,hot
92.96,hot
92.78,hot
94.68,hot
94.56,hot
75.61,hot
74.94,hot
76.86,hot
77.78,hot
79.56,hot
81.08,hot
80.38,hot
78.83,hot
78.01,hot
79.84,hot
79.28,hot
76.72,hot
68.44,hot
67.22,hot
65.76,hot
69.54,hot
68.32,hot
69.05,hot
68.26,hot
66.06,hot
67.07,hot
69.96,hot
76.26,hot
74.01,hot
77.86,hot
76.31,hot
72.18,hot
72.24,hot
75.53,hot
76.25,hot
73.52,hot
74.71,hot
73.73,hot
75.0,hot
55.14,hot
55.54,hot
55.38,hot
54.22,hot
58.56,hot
55.71,hot
54.15,hot
53.63,hot
56.83,hot
58.43,hot
56.81,hot
58.72,hot
59.13,hot
60.66,hot
143.46,hot
149.09,hot
149.56,hot
148.48,hot
147.48,hot
150.0,hot
149.21,hot
147.67,hot
145.84,hot
144.69,hot
144.5,hot
144.01,hot
143.43,hot
142.71,hot
142.59,hot
141.58,hot
141.17,hot
142.69,hot
143.02,hot
143.85,hot
145.89,hot
147.43,hot
147.11,hot
145.86,hot
148.28,hot
147.29,hot
145.94,hot
143.75,hot
142.07,hot
143.57,hot
141.25,hot
137.89,hot
141.26,hot
143.26,hot
142.7,hot
142.9,hot
143.41,hot
144.38,hot
139.67,hot
138.64,hot
137.11,hot
137.04,hot
137.49,hot
140.01,hot
142.3,hot
142.1,hot
141.79,hot
144.81,hot
142.15,hot
142.03,hot
140.09,hot
153.03,hot
150.0,hot
159.12,hot
150.0,hot
150.0,hot
149.39,hot
150.0,hot
146.52,hot
145.78,hot
144.43,hot
141.29,hot
140.88,hot
138.53,hot
138.21,hot
151.5,hot
150.0,hot
150.0,hot
150.0,hot
150.0,hot
150.0,hot
149.92,hot
150.0,hot
148.78,hot
148.61,hot
150.0,hot
148.48,hot
152.97,hot
147.16,hot
148.34,hot
150.0,hot
150.0,hot
145.48,hot
143.68,hot
142.18,hot
139.69,hot
143.59,hot
144.13,hot
140.98,hot
138.54,hot
135.9,hot
131.65,hot
133.17,hot
136.23,hot
134.58,hot
135.95,hot
135.07,hot
134.39,hot
136.02,hot
140.39,hot
143.69,hot
142.25,hot
139.98,hot
138.19,hot
140.98,hot
43.65,hot
46.09,hot
43.94,hot
47.34,hot
46.54,hot
48.05,hot
48.45,hot
44.32,hot
43.69,hot
42.38,hot
42.43,hot
38.36,hot
38.45,hot
39.26,hot
40.69,hot
41.3,hot
39.65,hot
38.6,hot
38.66,hot
36.48,hot
36.75,hot
32.01,hot
36.09,hot
34.76,hot
35.16,hot
33.79,hot
30.92,hot
31.57,hot
30.5,hot
28.7,normal
26.77,normal
27.74,normal
29.88,normal
24.12,normal
25.81,normal
24.47,normal
24.35,normal
24.87,normal
20.97,normal
23.71,normal
21.54,normal
26.15,normal
24.46,normal
20.9,normal
16.44,normal
18.79,normal
18.24,normal
33.09,hot
34.45,hot
32.69,hot
32.89,hot
17.15,normal
17.74,normal
15.43,normal
22.17,normal
24.55,normal
28.25,normal
29.95,normal
30.79,hot
31.44,hot
34.01,hot
33.09,hot
34.6,hot
32.21,hot
32.78,hot
33.62,hot
32.46,hot
31.28,hot
30.36,hot
26.02,normal
23.63,normal
20.46,normal
21.29,normal
22.67,normal
23.2,normal
20.83,normal
22.95,normal
22.59,normal
20.76,normal
19.78,normal
21.93,normal
17.38,normal
18.91,normal
19.91,normal
18.15,normal
19.63,normal
18.35,normal
16.27,normal
20.16,normal
20.9,normal
22.07,normal
24.86,normal
21.55,normal
19.54,normal
20.26,normal
34.85,hot
35.29,hot
36.99,hot
34.53,hot
33.34,hot
32.74,hot
30.39,hot
34.03,hot
34.45,hot
32.48,hot
34.52,hot
36.36,hot
37.45,hot
33.11,hot
33.95,hot
36.57,hot
127.24,hot
126.73,hot
124.98,hot
127.28,hot
126.75,hot
109.62,hot
46.08,hot
50.63,hot
48.86,hot
50.4,hot
52.59,hot
53.44,hot
52.08,hot
46.25,hot
42.22,hot
36.56,hot
37.83,hot
41.06,hot
40.56,hot
41.81,hot
41.18,hot
39.3,hot
38.17,hot
37.23,hot
35.52,hot
35.59,hot
36.55,hot
34.44,hot
36.16,hot
36.66,hot
39.6,hot
38.2,hot
50.49,hot
49.52,hot
51.42,hot
52.47,hot
52.72,hot
51.78,hot
52.93,hot
52.67,hot
51.45,hot
52.64,hot
142.87,hot
130.96,hot
131.04,hot
67.56,hot
67.4,hot
61.06,hot
58.68,hot
58.58,hot
57.0,hot
57.07,hot
57.07,hot
57.9,hot
56.16,hot
56.36,hot
55.89,hot
55.08,hot
52.09,hot
54.65,hot
55.99,hot
56.76,hot
54.39,hot
53.88,hot
55.17,hot
55.21,hot
53.02,hot
46.67,hot
52.18,hot
51.57,hot
51.04,hot
50.24,hot
51.21,hot
47.31,hot
44.52,hot
43.1,hot
45.95,hot
45.11,hot
45.72,hot
45.22,hot
44.9,hot
44.53,hot
44.4,hot
44.88,hot
46.62,hot
64.23,hot
65.41,hot
66.65,hot
69.35,hot
52.14,hot
53.51,hot
53.23,hot
52.11,hot
53.07,hot
55.43,hot
60.12,hot
61.86,hot
63.76,hot
62.39,hot
59.69,hot
59.98,hot
58.94,hot
56.45,hot
56.92,hot
55.56,hot
57.5,hot
55.8,hot
56.75,hot
55.21,hot
58.43,hot
56.79,hot
54.35,hot
50.97,hot
48.73,hot
46.68,hot
45.93,hot
46.47,hot
44.82,hot
46.47,hot
46.79,hot
49.49,hot
52.08,hot
55.41,hot
56.02,hot
55.12,hot
42.06,hot
46.35,hot
48.14,hot
47.77,hot
48.15,hot
47.57,hot
46.38,hot
50.79,hot
53.19,hot
54.17,hot
53.26,hot
55.38,hot
55.78,hot
56.83,hot
56.57,hot
57.01,hot
56.19,hot
55.08,hot
57.7,hot
56.68,hot
58.96,hot
59.25,hot
64.54,hot
70.57,hot
71.82,hot
70.07,hot
65.26,hot
62.0,hot
62.11,hot
60.15,hot
58.49,hot
58.14,hot
63.28,hot
63.43,hot
62.41,hot
62.72,hot
63.52,hot
68.07,hot
65.6,hot
63.13,hot
65.64,hot
67.1,hot
68.18,hot
72.55,hot
71.18,hot
70.84,hot
69.21,hot
65.06,hot
65.02,hot
65.7,hot
65.16,hot
60.67,hot
60.71,hot
60.04,hot
57.36,hot
